epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,459.134,1.27768,2.81732,1.51072,0.00544,0.97216,0.45946,0.25917,1.15832,3.33372,1.60003,0.0005001,0.0005001,0.0005001
2,902.884,1.36081,2.06338,1.56596,0.29104,0.20653,0.14829,0.05397,2.00297,3.67734,2.29773,0.000996736,0.000996736,0.000996736
3,1344.95,1.41102,1.96498,1.60838,0.32954,0.26862,0.21332,0.07708,1.88835,3.50377,2.48023,0.00147291,0.00147291,0.00147291
4,1781.83,1.48953,1.94962,1.6673,0.18047,0.33796,0.09867,0.03701,2.37098,10.4146,3.23831,0.00156798,0.00156798,0.00156798
5,2220.64,1.48977,1.8776,1.62468,0.4483,0.41146,0.3747,0.17328,1.71869,3.69561,2.3469,0.00153497,0.00153497,0.00153497
6,2667.6,1.46016,1.74237,1.61849,0.53031,0.42458,0.44957,0.22122,1.80678,2.90633,2.51804,0.00150197,0.00150197,0.00150197
7,3096.96,1.41922,1.60168,1.57359,0.49271,0.43121,0.43672,0.23369,1.74408,2.87156,2.31795,0.00146896,0.00146896,0.00146896
8,3526.24,1.45207,1.68946,1.60006,0.53174,0.45669,0.43533,0.21538,1.87401,2.66702,2.13453,0.00143595,0.00143595,0.00143595
9,3951.74,1.44081,1.60724,1.59597,0.56858,0.29736,0.21518,0.10474,1.70202,3.98751,1.90865,0.00140295,0.00140295,0.00140295
10,4390.19,1.37953,1.51977,1.55813,0.6183,0.55829,0.59735,0.31981,1.62694,2.13623,1.96386,0.00136994,0.00136994,0.00136994
11,4833.64,1.33532,1.35396,1.49213,0.68874,0.41853,0.52116,0.2729,1.59592,2.48929,1.90169,0.00133693,0.00133693,0.00133693
12,5271.41,1.30364,1.36667,1.46149,0.6676,0.51483,0.58081,0.32336,1.59677,1.68247,1.85987,0.00130393,0.00130393,0.00130393
13,5722.84,1.29949,1.36266,1.49489,0.42192,0.55001,0.45286,0.24219,1.69416,2.38526,1.90904,0.00127092,0.00127092,0.00127092
14,6163.13,1.27162,1.28822,1.4614,0.47298,0.57019,0.5217,0.25204,1.58494,2.05821,1.90857,0.00123791,0.00123791,0.00123791
15,6611.41,1.24936,1.1611,1.4289,0.57334,0.45504,0.49025,0.26345,1.39206,2.25075,1.71581,0.00120491,0.00120491,0.00120491
16,7049.99,1.25033,1.19731,1.45152,0.49083,0.56966,0.54968,0.32433,1.37361,2.33679,1.69894,0.0011719,0.0011719,0.0011719
17,7482.95,1.18298,1.16164,1.40604,0.67662,0.58932,0.62758,0.34965,1.50676,1.51542,1.76348,0.00113889,0.00113889,0.00113889
18,7922.3,1.21259,1.12419,1.39894,0.50342,0.54886,0.47984,0.26546,1.44359,2.26786,1.66226,0.00110589,0.00110589,0.00110589
19,8354.59,1.19372,1.15084,1.41385,0.50709,0.47809,0.39259,0.22167,1.55685,2.55365,1.79867,0.00107288,0.00107288,0.00107288
20,8798.25,1.1514,1.07703,1.36449,0.58575,0.55757,0.56694,0.3244,1.44796,2.05624,1.7038,0.00103987,0.00103987,0.00103987
21,9246.02,1.13448,0.99708,1.35704,0.59935,0.63783,0.63451,0.37747,1.41999,1.57257,1.70698,0.00100687,0.00100687,0.00100687
22,9688.45,1.15895,1.00693,1.36386,0.75323,0.58219,0.65414,0.39442,1.41238,1.64504,1.69803,0.000973861,0.000973861,0.000973861
23,10124.7,1.09669,0.99132,1.34783,0.6031,0.63537,0.63458,0.37862,1.43622,1.60918,1.74329,0.000940855,0.000940855,0.000940855
24,10564.7,1.1012,0.94832,1.33297,0.72831,0.69533,0.71214,0.44987,1.3095,1.32469,1.59484,0.000907848,0.000907848,0.000907848
25,11003.3,1.06402,0.95203,1.3033,0.67238,0.59009,0.64688,0.38729,1.431,1.50294,1.69767,0.000874842,0.000874842,0.000874842
26,11439.4,1.07545,0.92178,1.331,0.8243,0.62808,0.75296,0.47749,1.35824,1.17524,1.60529,0.000841835,0.000841835,0.000841835
27,11879.4,1.10287,0.91792,1.34833,0.58196,0.55819,0.61518,0.36725,1.44814,1.68417,1.72185,0.000808828,0.000808828,0.000808828
28,12321.3,1.07643,0.91749,1.3146,0.72573,0.58093,0.6717,0.39655,1.36124,1.28764,1.68372,0.000775822,0.000775822,0.000775822
29,12758.4,1.04587,0.88065,1.31206,0.513,0.59932,0.54958,0.3398,1.4069,1.84905,1.67993,0.000742815,0.000742815,0.000742815
30,13200.4,0.94281,0.78634,1.23476,0.79203,0.54816,0.71936,0.41421,1.41049,1.70856,1.676,0.000709809,0.000709809,0.000709809
31,13646.3,0.97136,0.80017,1.23701,0.83985,0.56741,0.75112,0.46099,1.30844,1.4457,1.55735,0.000676802,0.000676802,0.000676802
32,14093.5,0.95606,0.79404,1.23888,0.6885,0.6028,0.69256,0.41391,1.32803,1.95614,1.54675,0.000643795,0.000643795,0.000643795
33,14543.5,0.98944,0.81758,1.27177,0.70648,0.49848,0.63189,0.39541,1.31029,2.04323,1.53228,0.000610789,0.000610789,0.000610789
34,14987.8,0.94475,0.7903,1.23524,0.84992,0.69778,0.84048,0.53628,1.33786,1.02195,1.54316,0.000577782,0.000577782,0.000577782
35,15430.2,0.92058,0.77323,1.2225,0.82442,0.70696,0.82318,0.54817,1.2291,1.05336,1.50274,0.000544776,0.000544776,0.000544776
36,15869.5,0.89629,0.74867,1.20369,0.70198,0.61813,0.72759,0.4636,1.25843,1.51409,1.54996,0.000511769,0.000511769,0.000511769
37,16320.5,0.92068,0.7486,1.21042,0.73604,0.7353,0.80477,0.5134,1.28282,1.20533,1.52968,0.000478762,0.000478762,0.000478762
38,16770,0.88959,0.7354,1.20619,0.64342,0.71692,0.71903,0.46192,1.27325,1.33905,1.55284,0.000445756,0.000445756,0.000445756
39,17222.2,0.88957,0.71892,1.19384,0.54231,0.70119,0.65495,0.40699,1.43237,1.83241,1.65987,0.000412749,0.000412749,0.000412749
40,17664.5,0.8823,0.71838,1.20112,0.68751,0.69251,0.7451,0.46066,1.36546,1.44506,1.59603,0.000379743,0.000379743,0.000379743
41,18113.3,0.78444,0.71617,1.19029,0.62562,0.6106,0.62251,0.3869,1.32444,1.79033,1.5809,0.000346736,0.000346736,0.000346736
42,18554.9,0.75109,0.62824,1.16374,0.83004,0.65326,0.77623,0.49747,1.30167,1.29913,1.56847,0.000313729,0.000313729,0.000313729
43,18989.1,0.72058,0.57466,1.13701,0.78061,0.59828,0.75102,0.49581,1.27695,1.51515,1.55494,0.000280723,0.000280723,0.000280723
44,19426.2,0.72468,0.56331,1.14445,0.81563,0.58129,0.71709,0.4723,1.34454,1.51789,1.58445,0.000247716,0.000247716,0.000247716
45,19880.6,0.69055,0.52262,1.11142,0.64784,0.71496,0.74524,0.50229,1.23714,1.51273,1.51763,0.00021471,0.00021471,0.00021471
46,20322,0.69333,0.54729,1.12675,0.73174,0.69484,0.7983,0.53446,1.26072,1.30238,1.53696,0.000181703,0.000181703,0.000181703
47,20759.1,0.69576,0.51803,1.11877,0.75025,0.65927,0.79899,0.53341,1.2506,1.25014,1.53892,0.000148696,0.000148696,0.000148696
48,21201.5,0.67064,0.50153,1.09187,0.80796,0.65551,0.79619,0.53434,1.2294,1.20702,1.52418,0.00011569,0.00011569,0.00011569
49,21635.3,0.6432,0.51773,1.06364,0.75822,0.67081,0.78255,0.51758,1.24928,1.33382,1.53167,8.26832e-05,8.26832e-05,8.26832e-05
50,22064.2,0.63225,0.49524,1.06631,0.79121,0.63748,0.78915,0.53653,1.2364,1.32504,1.52161,4.96766e-05,4.96766e-05,4.96766e-05
